TIME,WndSp,SfcPr
93323,26,998.3
93324,25.4,998.2
93325,25.6,998.2
93326,25.2,998.1
93327,25,998.1
93328,25.1,998
93329,25.3,998
93330,25.3,997.9
93331,25,997.9
93332,24.6,997.6
93333,25,997.6
93334,25,997.6
93335,25.1,997.7
93336,25,997.7
93337,24.8,997.9
93338,24.7,997.8
93339,24.7,997.7
93340,24.9,997.9
93341,25.2,998
93342,25.1,998.1
93343,24.7,998.4
93344,25,998.5
93345,25.1,998.6
93346,25.5,998.7
93347,25.8,998.6
93348,25.4,998.5
93349,25,998.3
93350,25,998.2
93351,25.3,998.2
93352,25.4,998.2
93353,25.4,998
93354,25.3,998
93355,25,998.2
93356,25,998.3
93357,25,998.4
93358,25.2,998.4
93359,25.2,998.4
93400,25.2,998.4
93401,25,998.4
93402,24.8,998.4
93403,24.5,998.5
93404,24.6,998.5
93405,24.8,998.5
93406,24.8,998.5
93407,24.7,998.4
93408,24.9,998.3
93409,24.6,998.2
93410,24.6,998.1
93411,24.7,998.1
93412,24.6,998.1
93413,24.2,998.2
93414,24.1,998.3
93415,24.2,998.3
93416,24.3,998.4
93417,24.1,998.4
93418,24.1,998.5
93419,24.3,998.6
93420,24.2,998.5
93421,24.4,998.5
93422,24.4,998.5
93423,24.7,998.6
93424,24.9,998.5
93425,24.7,998.4
93426,24.4,998.3
93427,24.3,998.2
93428,24.6,998.2
93429,24.6,998.1
93430,24.6,998.1
93431,24.5,998
93432,24.4,998
93433,24.8,998.1
93434,25.3,998.2
93435,25.3,998.2
93436,25.1,998.1
93437,25.2,998
93438,25,998
93439,25.4,998
93440,25.7,998
93441,25.4,997.9
93442,25,997.9
93443,25.1,997.8
93444,25.2,997.7
93445,25.7,997.8
93446,25.9,997.8
93447,25.8,997.9
93448,25.7,997.9
93449,25.8,997.9
93450,25.8,997.7
93451,26,997.8
93452,26.1,997.8
93453,26.3,997.8
93454,26.3,997.8
93455,25.9,997.8
93456,25.7,997.8
93457,25.6,997.7
93458,25.9,997.6
93459,25.9,997.5
93500,25.6,997.5
93501,25.2,997.5
93502,25.3,997.6
93503,25.4,997.6
93504,25.5,997.4
93505,25.9,997.5
93506,26.1,997.4
93507,25.8,997.3
93508,25.7,997.3
93509,25.9,997.2
93510,25.7,997.3
93511,25.6,997.4
93512,26.1,997.3
93513,26.4,997.1
93514,26.2,996.9
93515,25.9,996.8
93516,25.6,996.8
93517,25.6,996.8
93518,26.1,996.8
93519,26.3,996.7
93520,26.3,996.6
93521,26.1,996.5
93522,25.7,996.7
93523,26,996.7
93524,26.3,996.6
93525,26.4,996.6
93526,26.3,996.5
93527,26.1,996.6
93528,26,996.5
93529,26.2,996.7
93530,26.4,996.5
93531,25.9,996.7
93532,25.5,996.8
93533,25.5,996.7
93534,25.6,996.9
93535,25.8,996.9
93536,25.7,996.9
93537,25.5,996.8
93538,25.3,996.8
93539,25.4,996.7
93540,25.5,996.8
93541,25.7,996.8
93542,25.7,996.8
93543,25.6,996.8
93544,25.7,996.8
93545,25.7,996.8
93546,25.5,996.7
93547,25.5,996.7
93548,25.7,996.5
93549,25.7,996.5
93550,25.7,996.4
93551,25.9,996.4
93552,26,996.3
93553,25.8,996.3
93554,25.7,996.3
93555,25.6,996.3
93556,25.8,996.3
93557,26.1,996.5
93558,26,996.4
93559,26.2,996.5
93600,26.6,996.6
93601,26.8,996.7
93602,26.6,996.7
93603,26.6,996.6
93604,27,996.7
93605,27.2,996.8
93606,26.9,996.8
93607,26.8,996.7
93608,26.9,996.6
93609,26.9,996.5
93610,26.8,996.6
93611,26.8,996.5
93612,26.9,996.5
93613,27.2,996.4
93614,27.5,996.4
93615,27.8,996.5
93616,28.1,996.5
93617,27.7,996.5
93618,27.2,996.8
93619,27.2,996.8
93620,27,996.9
93621,27.3,997.1
93622,26.5,997.1
93623,27.6,997.1
93624,27.2,996.9
93625,26.6,997
93626,26.9,996.8
93627,26.7,996.9
93628,27,996.8
93629,26.8,996.8
93630,26.4,996.7
93631,26.5,996.8
93632,26.9,996.8
93633,27.1,996.6
93634,27.4,996.4
93635,27,996.3
93636,26.6,996.4
93637,27,996.5
93638,26.5,996.3
93639,26.8,996.1
93640,27,996.1
93641,27.1,996
93642,27.1,995.9
93643,27,995.9
93644,26.8,995.7
93645,26.7,995.7
93646,26.5,995.7
93647,26.3,995.8
93648,26.2,996
93649,26.2,995.9
93650,26.4,995.8
93651,26.4,995.8
93652,26.3,995.8
93653,26.5,995.6
93654,26.8,995.6
93655,26.7,995.5
93656,26.5,995.4
93657,26.4,995.3
93658,26.6,995.4
93659,26.9,995.4
93700,26.5,995.4
93701,26.3,995.5
93702,26.5,995.9
93703,26.6,995.9
93704,27.2,996
93705,27.4,995.9
93706,27.1,995.9
93707,26.7,995.7
93708,26.6,995.7
93709,26.4,995.8
93710,26.7,995.7
93711,26.9,995.6
93712,27.4,995.5
93713,26.8,995.3
93714,26.3,995.1
93715,27,995.3
93716,27.3,995.2
93717,27.7,995.2
93718,27.7,995.2
93719,27.7,995.3
93720,27.8,995.5
93721,28,995.6
93722,28.1,995.8
93723,28,995.7
93724,27.9,995.8
93725,27.9,995.6
93726,27.8,995.6
93727,27.8,995.6
93728,28,995.7
93729,27.9,995.5
93730,27.9,995.5
93731,27.6,995.2
93732,27.5,995.2
93733,27.5,995.3
93734,27.8,995.1
93735,27.8,995.2
93736,27.8,995.1
93737,27.5,995
93738,27.5,995
93739,27.5,994.8
93740,27.7,994.7
93741,27.9,994.8
93742,27.6,994.7
93743,27.5,994.6
93744,27.9,994.7
93745,27.9,994.6
93746,27.6,994.6
93747,27.3,994.4
93748,27.2,994.4
93749,27.5,994.3
93750,27.8,994.3
93751,27.9,994.3
93752,27.6,994.2
93753,27.5,994
93754,27.6,993.9
93755,27.8,993.9
93756,27.9,993.8
93757,27.8,993.7
93758,27.8,993.7
93759,27.7,993.7
93800,27.7,993.6
93801,27.8,993.7
93802,28,993.7
93803,28.1,993.7
93804,28.3,993.8
93805,28.4,993.9
93806,28.3,993.9
93807,28.2,993.8
93808,28.6,994
93809,29.4,994.3
93810,29.4,994.6
93811,29.4,994.9
93812,29.4,995.1
93813,29.4,995.2
93814,29.7,995.3
93815,30.1,995.4
93816,30.3,995.6
93817,30.4,995.7
93818,30.5,995.8
93819,30.6,995.7
93820,30.6,995.6
93821,30.4,995.6
93822,30.3,995.4
93823,30.1,995.4
93824,30.1,995.2
93825,29.9,995
93826,29.6,994.9
93827,29.6,994.6
93828,29.7,994.6
93829,29.4,994.6
93830,29.7,994.6
93831,30.3,994.6
93832,29.3,994.5
93833,29.4,994.5
93834,29.5,994.5
93835,29.4,994.3
93836,29.5,994.2
93837,29.5,994.1
93838,29.3,994.1
93839,29.6,994.3
93840,29.4,994.3
93841,29.6,994.4
93842,29.5,994.2
93843,29.3,994.2
93844,29.3,994.1
93845,28.6,993.7
93846,28.7,993.7
93847,29.2,993.7
93848,29.3,993.7
93849,28.9,993.6
93850,28.6,993.7
93851,28.6,993.6
93852,28.6,993.5
93853,29.5,993.6
93854,29.9,993.8
93855,30.3,994
93856,30.1,994
93857,29.9,993.9
93858,30.1,994.1
93859,30.2,994.3
93900,30.1,994.2
93901,30,994.2
93902,29.9,994.1
93903,29.9,994.3
93904,30.2,994.4
93905,30.4,994.4
93906,30.3,994.5
93907,30.4,994.4
93908,30.6,994.6
93909,30.6,994.6
93910,30.6,994.6
93911,30.6,994.7
93912,30.6,994.7
93913,30.6,994.7
93914,30.5,994.7
93915,30.5,994.7
93916,30.5,994.8
93917,30.5,994.9
93918,30.6,995
93919,30.7,994.8
93920,30.5,994.7
93921,30.4,994.7
93922,30.2,994.8
93923,30.4,994.9
93924,30.4,994.7
93925,30.5,994.7
93926,30.5,994.7
93927,30.3,994.7
93928,30.3,994.8
93929,30.3,994.7
93930,30.5,994.6
93931,30.6,994.8
93932,30.6,994.8
93933,30.4,994.6
93934,30.4,994.7
93935,30.5,994.5
93936,30.6,994.5
93937,30.6,994.5
93938,30.7,994.5
93939,30.9,994.4
93940,30.9,994.5
93941,30.9,994.5
93942,31,994.5
93943,31,994.6
93944,31.2,994.6
93945,31.1,994.7
93946,30.9,994.5
93947,30.8,994.3
93948,31.1,994.1
93949,31.3,994.1
93950,31.2,994
93951,31.3,993.9
93952,31.2,993.9
93953,31.3,993.9
93954,31.5,993.9
93955,31.7,993.7
93956,31.5,993.8
93957,31.7,993.8
93958,31.7,993.7
93959,31.6,993.7
94000,31.4,993.8
94001,31.6,993.6
94002,31.6,993.7
94003,31.6,993.8
94004,31.6,993.7
94005,31.5,993.8
94006,31.4,993.8
94007,31.4,993.8
94008,31.6,993.9
94009,31.7,993.8
94010,31.8,993.8
94011,31.7,993.8
94012,31.7,993.8
94013,31.8,993.7
94014,31.7,993.8
94015,31.8,993.9
94016,32.1,993.6
94017,32.3,993.5
94018,32.3,993.4
94019,32.3,993.3
94020,32.4,993.2
94021,32.6,993.1
94022,32.7,993.2
94023,32.7,993.2
94024,32.6,993.2
94025,32.7,993.2
94026,32.7,993.2
94027,32.7,993.1
94028,32.5,993
94029,32.6,992.9
94030,32.9,993
94031,33.4,993.1
94032,33.2,993
94033,33.2,993.1
94034,33.3,993.1
94035,33.6,993.1
94036,33.6,993.1
94037,33.7,993.1
94038,33.6,992.9
94039,33.5,992.8
94040,33.5,992.8
94041,33.6,992.7
94042,33.7,992.6
94043,33.6,992.6
94044,33.4,992.5
94045,33.3,992.5
94046,33.3,992.4
94047,32.9,992.5
94048,33,992.5
94049,32.9,992.4
94050,32.8,992.4
94051,32.9,992.3
94052,33.4,992.3
94053,34.3,992.4
94054,33.9,992.4
94055,33.6,992.3
94056,33.5,992.3
94057,33.6,992.2
94058,33.8,992.3
94059,33.8,992.2
94100,33.8,992
94101,33.6,991.7
94102,33.6,991.6
94103,33.5,991.6
94104,33.5,991.4
94105,33.6,991.4
94106,33.5,991.4
94107,33.5,991.5
94108,33.4,991.4
94109,33.2,991.4
94110,32.5,991.3
94111,32.5,991.1
94112,32.5,991.2
94113,32.1,991.2
94114,32.5,991.4
94115,32.4,991.6
94116,32.3,991.6
94117,32.5,991.6
94118,31.7,991.7
94119,31.6,991.7
94120,31.4,991.7
94121,30.9,991.7
94122,31.1,991.7
94123,31.5,991.6
94124,31.6,991.6
94125,31.4,991.8
94126,31.5,991.8
94127,31.5,991.7
94128,32,991.6
94129,32.2,991.6
94130,32.3,991.4
94131,32.4,991.3
94132,32.9,991.3
94133,33.4,991.3
94134,33.4,991.2
94135,33.2,991.1
94136,33,991.1
94137,32.8,990.9
94138,32.5,990.8
94139,32.9,990.7
94140,33.4,990.9
94141,32.9,990.7
94142,33,990.7
94143,33,990.6
94144,32.8,990.6
94145,32.8,990.8
94146,33.2,990.8
94147,33.4,990.7
94148,33.4,990.8
94149,33.5,990.7
94150,33.4,990.7
94151,33.2,990.8
94152,33,990.9
94153,32.9,990.8
94154,33.3,990.8
94155,33.4,990.7
94156,32.5,990.4
94157,31.8,990.3
94158,31.9,990.4
94159,31.8,990.5
94200,31.1,990.6
94201,29.6,991
94202,30,990.2
94203,29.6,989.9
94204,29.8,989.5
94205,30,989.3
94206,30.2,989.1
94207,30.3,989
94208,30.6,989.1
94209,30,989.2
94210,29.8,989
94211,29.7,988.9
94212,30.1,988.9
94213,30.3,989
94214,29.9,989
94215,29.3,988.7
94216,29.5,988.6
94217,29.2,988.7
94218,29.7,988.7
94219,29,988.7
94220,29,988.6
94221,28.9,988.6
94222,28.6,988.9
94223,29,989.1
94224,29.8,989.3
94225,28.8,989.1
94226,28,989
94227,28.1,988.9
94228,28.1,988.9
94229,29,988.8
94230,30,988.7
94231,28.9,988.6
94232,28,988.7
94233,27.8,988.7
94234,28.9,988.6
94235,29.1,988.4
94236,29.3,988.3
94237,29.3,988.3
94238,30.6,988.6
94239,30.8,988.6
94240,29.5,988.4
94241,29.9,988.4
94242,32,988.3
94243,31,988.1
94244,30.4,987.9
94245,31.9,987.9
94246,31.4,987.6
94247,29.6,987.5
94248,28.9,987.4
94249,27.9,987.5
94250,27.5,987.6
94251,28.9,987.8
94252,31.6,988.1
94253,30.5,987.9
94254,30.8,987.7
94255,31.3,987.9
94256,31.1,987.8
94257,30.5,987.7
94258,31.8,987.7
94259,31.7,987.8
94300,31.2,987.7
94301,30.5,987.5
94302,30.3,987.3
94303,30.2,987.3
94304,30.5,987.2
94305,31,987.2
94306,30.8,987.2
94307,30.9,987.1
94308,30.8,987.2
94309,30.4,987.2
94310,30.6,987.2
94311,30.4,987
94312,30.7,986.9
94313,30.1,986.9
94314,30.5,986.8
94315,31,986.9
94316,31,986.9
94317,29.9,986.9
94318,30,986.8
94319,30.4,986.7
94320,31.4,986.8
94321,31.8,986.8
94322,31.9,986.7
94323,30.2,986.5
94324,29.2,986.6
94325,28.6,986.5
94326,28.2,986.4
94327,29.3,986.5
94328,29.5,986.5
94329,30.3,986.5
94330,30.6,986.4
94331,30.4,986.4
94332,30,986.3
94333,30.4,986.3
94334,30.5,986.2
94335,30.6,986.2
94336,31.6,986.1
94337,31.8,986.1
94338,30.2,986
94339,29.2,986.1
94340,31.4,986.2
94341,25.8,986.2
94342,24.3,985.8
94343,24.8,985.7
94344,24.9,985.6
94345,24.4,985.6
94346,24.4,985.8
94347,24.7,985.8
94348,25.1,985.9
94349,25.1,985.8
94350,25.6,986
94351,26.9,985.8
94352,26.6,985.7
94353,25.9,985.6
94354,27.3,985.4
94355,26.8,985.3
94356,27.2,985.3
94357,27.8,985
94358,28.8,985.1
94359,29.9,985.1
94400,28.5,984.8
94401,27.2,984.7
94402,26.6,984.7
94403,25,984.8
94404,25.5,984.7
94405,27.4,985
94406,27.4,985
94407,27.7,985.1
94408,28,985.2
94409,27.6,985.1
94410,27.9,984.9
94411,28,985.1
94412,28.1,985.4
94413,27.7,985.2
94414,28.6,984.9
94415,29.2,984.7
94416,29.1,984.5
94417,28.2,984.4
94418,28.5,984.5
94419,29.1,984.6
94420,30,984.4
94421,30.1,984.2
94422,29.8,984.2
94423,29.6,984
94424,29.6,984
94425,29.4,984
94426,29.7,984
94427,30.5,984
94428,30.6,983.8
94429,30.3,983.6
94430,29.7,983.4
94431,29.6,983.3
94432,29.9,983.1
94433,30.4,983.1
94434,30.3,983.4
94435,30.7,983.5
94436,30.6,983.7
94437,30.3,983.8
94438,30.7,983.9
94439,30.8,983.9
94440,30.6,984
94441,30.3,983.8
94442,30.3,983.8
94443,30.9,984
94444,31.2,984.2
94445,31,984.4
94446,30.6,984.3
94447,30.2,984.2
94448,30.5,984.2
94449,30.7,984.3
94450,30.7,984.3
94451,30.9,984.4
94452,30.6,984.5
94453,30.2,984.3
94454,30.1,984
94455,30.2,984
94456,30.4,983.9
94457,30.5,984.1
94458,30.6,984.2
94459,30.6,984.1
94500,30.7,984
94501,30.8,983.8
94502,31,983.8
94503,30.7,983.8
94504,30.3,983.7
94505,30.2,983.6
94506,30.4,983.6
94507,30.7,983.4
94508,30.8,983.2
94509,30.6,983
94510,30.1,983.2
94511,31.1,983.6
94512,31.1,983.6
94513,30.8,983.4
94514,29.9,983.1
94515,29.7,983.1
94516,29.8,983.1
94517,30.2,982.9
94518,30.3,982.8
94519,30.3,982.6
94520,30.5,982.6
94521,30.6,982.4
94522,30.9,982.4
94523,31.5,982.5
94524,31.2,982.3
94525,31.2,982.2
94526,31.2,982.1
94527,31.3,981.8
94528,32.2,981.6
94529,32.6,981.6
94530,32,981.5
94531,31.2,981.5
94532,31.2,981.5
94533,31.6,981.6
94534,32.2,981.5
94535,32.5,981.6
94536,32.6,981.5
94537,32.3,981.4
94538,32.3,981.3
94539,32.3,981.2
94540,32.2,981.2
94541,32.7,981.4
94542,32,981.8
94543,31.7,982.1
94544,32.1,982.3
94545,32.5,982.4
94546,32.4,982.4
94547,32.2,982.4
94548,32.9,982.3
94549,32.5,982
94550,32.1,981.7
94551,32.6,981.6
94552,32.4,981.8
94553,32.2,981.9
94554,32.2,981.8
94555,31.7,981.9
94556,31.6,981.8
94557,32,982.1
94558,32.2,982
94559,32.4,981.9
94600,31.3,981.8
94601,31.5,981.7
94602,32.2,982
94603,32.1,981.9
94604,31.8,981.8
94605,31.5,981.8
94606,31.7,981.9
94607,32,981.8
94608,31.8,981.6
94609,31.6,981.5
94610,31.5,981.6
94611,31.8,981.5
94612,31.9,981.5
94613,31.8,981.4
94614,31.7,981.3
94615,31.8,981.1
94616,32.2,980.8
94617,32.3,980.6
94618,31.9,980.4
94619,31.2,980.2
94620,31.5,980.1
94621,31.9,979.8
94622,33.1,979.8
94623,33.1,979.7
94624,32.6,979.5
94625,32.7,979.4
94626,31.8,979.3
94627,32,979.2
94628,32.6,979.1
94629,32,978.9
94630,32.2,978.9
94631,32.3,978.8
94632,32.5,978.9
94633,32.8,979
94634,31.9,979.2
94635,32.1,979.3
94636,32.2,979.6
94637,31.9,979.9
94638,31.3,980
94639,31.6,980.1
94640,32.2,980.3
94641,31.4,980.1
94642,31.2,979.6
94643,31.7,979.6
94644,31.7,979.7
94645,31.7,979.7
94646,31.5,979.6
94647,31.4,979.5
94648,31.8,979.4
94649,31.8,979.2
94650,31.8,979.1
94651,31.9,978.9
94652,31.6,978.7
94653,31.1,978.4
94654,31.4,978.3
94655,31.7,978.3
94656,32,978.4
94657,31.8,978.4
94658,32.2,978.1
94659,32,978
94700,32.1,977.9
94701,32.2,977.7
94702,32.1,977.6
94703,32.3,977.5
94704,32.2,977.5
94705,32.2,977.5
94706,32.8,977.5
94707,32.9,977.5
94708,32.9,977.5
94709,33,977.6
94710,32.9,977.7
94711,33.1,977.7
94712,32.9,977.7
94713,32.9,977.7
94714,33.2,977.7
94715,33.3,977.5
94716,33.2,977.6
94717,33.7,977.6
94718,33.8,977.5
94719,33.8,977.4
94720,34.1,977.8
94721,34.4,977.7
94722,34.4,977.6
94723,34.6,977.8
94724,35,977.9
94725,35.2,978
94726,35.1,978.1
94727,35.2,978.2
94728,35.4,978.1
94729,35.9,977.9
94730,36,977.8
94731,35.8,977.6
94732,35.8,977.4
94733,35.8,977.2
94734,35.8,976.9
94735,35.9,976.9
94736,35.7,976.8
94737,35.6,976.6
94738,35.7,976.6
94739,36,976.6
94740,36,976.6
94741,35.9,976.6
94742,35.6,976.4
94743,35.4,976.2
94744,35.4,976.1
94745,35.5,975.9
94746,35.6,975.8
94747,36,975.7
94748,35.7,975.8
94749,35.5,975.8
94750,35.3,975.7
94751,35.5,975.8
94752,35.5,975.7
94753,35.6,975.8
94754,35.6,975.8
94755,35.8,975.8
94756,35.8,975.9
94757,35.9,975.6
94758,36,975.6
94759,36.2,975.6
94800,36.1,975.7
94801,36.2,975.8
94802,36.5,976.2
94803,36.2,976
94804,35.9,975.8
94805,36,975.6
94806,36.3,975.5
94807,36.2,975.4
94808,36.1,975.1
94809,36.2,975
94810,36,975
94811,36.1,975
94812,36.6,975
94813,36.5,975
94814,36.5,975.1
94815,36.8,975.1
94816,37,975.3
94817,37.1,975.4
94818,37.1,975.3
94819,37.1,975.2
94820,36.5,974.9
94821,36.3,974.7
94822,36.7,974.8
94823,36.6,974.7
94824,37.1,974.8
94825,37.3,975
94826,37.2,974.9
94827,36.8,974.9
94828,36.5,974.8
94829,36.3,974.7
94830,36.8,974.5
94831,36.9,974.5
94832,36.9,974.4
94833,36.8,974.4
94834,36.7,974.4
94835,36.8,974.2
94836,37.3,974.2
94837,37.5,974.3
94838,37.6,974.2
94839,37.5,974.2
94840,37.4,974.1
94841,37.4,974.2
94842,37.6,974.1
94843,37.9,974.2
94844,38,974.2
94845,37.7,974.3
94846,37.6,974.1
94847,37.7,973.9
94848,38.1,973.8
94849,38.3,973.8
94850,38.2,973.5
94851,38,973.3
94852,37.8,973.3
94853,37.9,973.2
94854,38.3,973.1
94855,38.8,972.9
94856,38.4,972.8
94857,38.4,972.7
94858,38.8,972.6
94859,39.1,972.2
94900,39.4,972.1
94901,39.3,972
94902,39.2,971.8
94903,39.5,971.9
94904,39.2,972
94905,39,972
94906,38.9,972
94907,39,971.7
94908,39,971.6
94909,38.8,971.4
94910,38.7,971.4
94911,38.2,971.4
94912,38.3,971.5
94913,38.5,971.4
94914,38.4,971.2
94915,38.4,971.2
94916,38.2,971.1
94917,38,971.1
94918,37.8,971.1
94919,37.6,971.1
94920,37.5,970.9
94921,37.3,970.8
94922,37.2,970.8
94923,37.2,970.7
94924,37.5,970.8
94925,37.8,970.8
94926,37.7,970.8
94927,38,970.8
94928,38.3,970.8
94929,38.8,970.8
94930,38.7,970.8
94931,39.3,970.8
94932,39.2,970.8
94933,39.3,970.6
94934,39.7,970.5
94935,39.6,970.4
94936,39.6,970
94937,39.8,969.8
94938,40.2,969.6
94939,40.4,969.5
94940,40.7,969.5
94941,40.4,969.6
94942,40.5,969.6
94943,40.5,969.5
94944,40.6,969.5
94945,40.6,969.5
94946,40.9,969.3
94947,40.7,969.1
94948,40.5,968.9
94949,40.5,968.8
94950,40.5,968.8
94951,40.7,968.9
94952,40.6,968.9
94953,40.6,968.7
94954,40.5,968.4
94955,40.1,968.1
94956,39.9,967.9
94957,40.1,967.9
94958,40.1,967.9
94959,40.6,967.9
95000,40.7,967.8
